date,embryo,resection,relative_side,tissue,orientation,slice,edu_cell_count,area,normalized_count,potential_artifact
20251007,e1,Anterior,ipsilateral,Central Brain,Anterior,13,77,209185.75,36.8093907,FALSE
20251007,e1,Anterior,ipsilateral,Central Brain,Anterior,16,92,217320.691,42.33375091,FALSE
20251007,e1,Anterior,ipsilateral,Central Brain,Anterior,19,75,215030.407,34.8787881,FALSE
20251007,e1,Anterior,ipsilateral,Central Brain,Anterior,22,62,225619.997,27.47983371,FALSE
20251007,e1,Anterior,ipsilateral,Central Brain,Anterior,25,54,224525.678,24.05070123,FALSE
20251007,e1,Anterior,ipsilateral,Central Brain,Anterior,28,42,220364.671,19.05931645,FALSE
20251007,e1,Anterior,ipsilateral,Central Brain,Anterior,31,44,225073.919,19.5491331,FALSE
20251007,e2,Anterior,ipsilateral,Central Brain,Anterior,15,110,168464.546,65.29563793,FALSE
20251007,e2,Anterior,ipsilateral,Central Brain,Anterior,18,109,178034.429,61.22411301,FALSE
20251007,e2,Anterior,ipsilateral,Central Brain,Anterior,21,97,186360.768,52.04958159,FALSE
20251007,e2,Anterior,ipsilateral,Central Brain,Anterior,24,88,191314.399,45.99758328,FALSE
20251007,e2,Anterior,ipsilateral,Central Brain,Anterior,27,80,205035.557,39.01762268,FALSE
20251007,e2,Anterior,ipsilateral,Central Brain,Anterior,30,101,210674.759,47.94119641,FALSE
20251007,e2,Anterior,ipsilateral,Central Brain,Anterior,33,93,209448.516,44.40231985,FALSE
20251007,e3,Anterior,ipsilateral,Central Brain,Anterior,16,103,168319.646,61.19309448,FALSE
20251007,e3,Anterior,ipsilateral,Central Brain,Anterior,19,125,174307.04,71.71253668,FALSE
20251007,e3,Anterior,ipsilateral,Central Brain,Anterior,22,123,184580.878,66.63745526,FALSE
20251007,e3,Anterior,ipsilateral,Central Brain,Anterior,25,112,201717.997,55.52305777,FALSE
20251007,e3,Anterior,ipsilateral,Central Brain,Anterior,28,88,196505.925,44.7823647,FALSE
20251007,e3,Anterior,ipsilateral,Central Brain,Anterior,31,105,213252.68,49.2373648,FALSE
20251007,e3,Anterior,ipsilateral,Central Brain,Anterior,34,119,216579.971,54.9450623,FALSE
20251007,e1,Anterior,contralateral,Central Brain,Anterior,13,158,213276.469,74.08224674,FALSE
20251007,e1,Anterior,contralateral,Central Brain,Anterior,16,177,219599.08,80.60143057,FALSE
20251007,e1,Anterior,contralateral,Central Brain,Anterior,19,128,231144.577,55.37659661,FALSE
20251007,e1,Anterior,contralateral,Central Brain,Anterior,22,106,240341.396,44.10392956,FALSE
20251007,e1,Anterior,contralateral,Central Brain,Anterior,25,89,235595.383,37.77663164,FALSE
20251007,e1,Anterior,contralateral,Central Brain,Anterior,28,86,231114.299,37.21102518,FALSE
20251007,e1,Anterior,contralateral,Central Brain,Anterior,31,71,220758.28,32.16187406,FALSE
20251007,e2,Anterior,contralateral,Central Brain,Anterior,15,203,179957.056,112.8046905,FALSE
20251007,e2,Anterior,contralateral,Central Brain,Anterior,18,207,184469.499,112.2136728,FALSE
