day,replicate,orientation,region,tissue,slice,edu_cell_count,area
0 day,embryo 1,Anterior,CB,Central Brain,81,1,128542.558
0 day,embryo 1,Anterior,CB,Central Brain,91,6,173203.533
0 day,embryo 1,Anterior,CB,Central Brain,101,4,210146.109
0 day,embryo 1,Anterior,CB,Central Brain,111,3,244068.611
0 day,embryo 1,Anterior,CB,Central Brain,121,4,268400.306
0 day,embryo 1,Anterior,CB,Central Brain,131,4,287722.253
0 day,embryo 1,Anterior,CB,Central Brain,141,4,311206.174
0 day,embryo 1,Anterior,CB,Central Brain,151,1,324399.54
0 day,embryo 1,Posterior,OL1,Optic Lobe,75,0,139059.956
0 day,embryo 1,Posterior,OL1,Optic Lobe,85,0,157628
0 day,embryo 1,Posterior,OL1,Optic Lobe,95,1,179703
0 day,embryo 1,Posterior,OL1,Optic Lobe,105,0,219627
0 day,embryo 1,Posterior,OL1,Optic Lobe,115,2,257998
0 day,embryo 1,Posterior,OL1,Optic Lobe,125,1,268331
0 day,embryo 1,Posterior,OL1,Optic Lobe,135,2,260469
0 day,embryo 1,Posterior,OL1,Optic Lobe,145,0,265113
0 day,embryo 1,Posterior,OL2,Optic Lobe,74,0,165037
0 day,embryo 1,Posterior,OL2,Optic Lobe,84,0,186801
0 day,embryo 1,Posterior,OL2,Optic Lobe,94,1,213635
0 day,embryo 1,Posterior,OL2,Optic Lobe,104,1,235797
0 day,embryo 1,Posterior,OL2,Optic Lobe,114,1,254267
0 day,embryo 1,Posterior,OL2,Optic Lobe,124,0,266147.265
0 day,embryo 2,Anterior,CB,Central Brain,77,0,149245
0 day,embryo 2,Anterior,CB,Central Brain,87,2,194138
0 day,embryo 2,Anterior,CB,Central Brain,97,3,238030.383
0 day,embryo 2,Anterior,CB,Central Brain,107,5,253968.922
0 day,embryo 2,Anterior,CB,Central Brain,117,4,279377.156
0 day,embryo 2,Anterior,CB,Central Brain,127,5,313017.066
0 day,embryo 2,Anterior,CB,Central Brain,137,3,335101
0 day,embryo 2,Anterior,CB,Central Brain,147,4,353466.083
0 day,embryo 2,Anterior,CB,Central Brain,157,7,353644.865
0 day,embryo 2,Posterior,OL1,Optic Lobe,62,1,306727.004
0 day,embryo 2,Posterior,OL1,Optic Lobe,72,1,314087.837
0 day,embryo 2,Posterior,OL1,Optic Lobe,82,1,328703.772
0 day,embryo 2,Posterior,OL1,Optic Lobe,92,3,341606.856
0 day,embryo 2,Posterior,OL1,Optic Lobe,102,1,338234.983
0 day,embryo 2,Posterior,OL2,Optic Lobe,77,0,175550.771
0 day,embryo 2,Posterior,OL2,Optic Lobe,87,3,208471.707
0 day,embryo 2,Posterior,OL2,Optic Lobe,97,2,230369.657
0 day,embryo 2,Posterior,OL2,Optic Lobe,107,2,246877.223
0 day,embryo 2,Posterior,OL2,Optic Lobe,117,3,270224.655
0 day,embryo 2,Posterior,OL2,Optic Lobe,127,1,290651.976
0 day,embryo 3,Anterior,CB,Central Brain,37,5,147066.712
0 day,embryo 3,Anterior,CB,Central Brain,47,5,191833.418
0 day,embryo 3,Anterior,CB,Central Brain,57,2,253940.086
0 day,embryo 3,Anterior,CB,Central Brain,67,6,289942.614
0 day,embryo 3,Anterior,CB,Central Brain,77,7,310454.519
0 day,embryo 3,Anterior,CB,Central Brain,87,12,328759.521
0 day,embryo 3,Anterior,CB,Central Brain,97,8,336276.068
0 day,embryo 3,Posterior,OL1,Optic Lobe,92,6,168232.231
0 day,embryo 3,Posterior,OL1,Optic Lobe,102,3,208562.06
0 day,embryo 3,Posterior,OL1,Optic Lobe,112,4,227789.809
0 day,embryo 3,Posterior,OL1,Optic Lobe,122,5,251819.689
0 day,embryo 3,Posterior,OL2,Optic Lobe,79,3,294014.237
0 day,embryo 3,Posterior,OL2,Optic Lobe,89,5,325122.358
0 day,embryo 3,Posterior,OL2,Optic Lobe,99,5,339436.478
