transplant_date,embryo,transplant,transplant_type,tissue,relative_side,orientation,slice,edu_cell_count,area
20250905,e1,,Anterior-Anterior,Central Brain,ipsilateral,,16,55,188022.491
20250905,e1,,Anterior-Anterior,Central Brain,ipsilateral,,19,58,197862.837
20250905,e1,,Anterior-Anterior,Central Brain,ipsilateral,,22,63,211288.277
20250905,e1,,Anterior-Anterior,Central Brain,ipsilateral,,25,67,228956.675
20250905,e1,,Anterior-Anterior,Central Brain,ipsilateral,,28,57,248079.011
20250905,e1,,Anterior-Anterior,Central Brain,ipsilateral,,31,19,250649.664
20250905,e1,,Anterior-Anterior,Central Brain,ipsilateral,,34,14,245974.578
20251118,e1,ventral-anterior,Anterior-Anterior,Central Brain,ipsilateral,,14,0,178159.864
20251118,e1,,Anterior-Anterior,Central Brain,ipsilateral,,17,1,190128.166
20251118,e1,,Anterior-Anterior,Central Brain,ipsilateral,,20,20,199812.671
20251118,e1,,Anterior-Anterior,Central Brain,ipsilateral,,23,34,220029.455
20251118,e1,,Anterior-Anterior,Central Brain,ipsilateral,,26,73,229311.701
20251118,e1,,Anterior-Anterior,Central Brain,ipsilateral,,29,59,235534.828
20251118,e1,,Anterior-Anterior,Central Brain,ipsilateral,,32,54,238334.424
20251118,e2,,Anterior-Anterior,Central Brain,ipsilateral,,15,1,170460.704
20251118,e2,,Anterior-Anterior,Central Brain,ipsilateral,,18,2,180662.092
20251118,e2,,Anterior-Anterior,Central Brain,ipsilateral,,21,8,205685.443
20251118,e2,,Anterior-Anterior,Central Brain,ipsilateral,,24,7,204016.932
20251118,e2,,Anterior-Anterior,Central Brain,ipsilateral,,27,5,211061.88
20251118,e2,,Anterior-Anterior,Central Brain,ipsilateral,,30,0,216177.712
20251118,e2,,Anterior-Anterior,Central Brain,ipsilateral,,33,0,220264.106
20251118,e3,,Anterior-Anterior,Central Brain,ipsilateral,,15,0,175969.064
20251118,e3,,Anterior-Anterior,Central Brain,ipsilateral,,18,1,182286.268
20251118,e3,,Anterior-Anterior,Central Brain,ipsilateral,,21,2,192222.727
20251118,e3,,Anterior-Anterior,Central Brain,ipsilateral,,24,5,202297.597
20251118,e3,,Anterior-Anterior,Central Brain,ipsilateral,,27,8,212212.428
20251118,e3,,Anterior-Anterior,Central Brain,ipsilateral,,30,4,207843.804
20251118,e3,,Anterior-Anterior,Central Brain,ipsilateral,,33,4,201439.011
20250905,e1,,Anterior-Anterior,Central Brain,contralateral,,16,6,201711.445
20250905,e1,,Anterior-Anterior,Central Brain,contralateral,,19,6,205269.818
20250905,e1,,Anterior-Anterior,Central Brain,contralateral,,22,1,219377.079
20250905,e1,,Anterior-Anterior,Central Brain,contralateral,,25,2,234230.658
20250905,e1,,Anterior-Anterior,Central Brain,contralateral,,28,0,240593.714
20250905,e1,,Anterior-Anterior,Central Brain,contralateral,,31,0,249368.023
20250905,e1,,Anterior-Anterior,Central Brain,contralateral,,34,0,241305.02
20251118,e1,ventral-anterior,Anterior-Anterior,Central Brain,contralateral,,14,0,191852.907
20251118,e1,,Anterior-Anterior,Central Brain,contralateral,,17,0,199370.402
20251118,e1,,Anterior-Anterior,Central Brain,contralateral,,20,3,206135.282
20251118,e1,,Anterior-Anterior,Central Brain,contralateral,,23,0,222128.341
20251118,e1,,Anterior-Anterior,Central Brain,contralateral,,26,1,236980.583
20251118,e1,,Anterior-Anterior,Central Brain,contralateral,,29,2,248484.988
20251118,e1,,Anterior-Anterior,Central Brain,contralateral,,32,0,237037.894
20251118,e2,,Anterior-Anterior,Central Brain,contralateral,,15,0,176515.142
20251118,e2,,Anterior-Anterior,Central Brain,contralateral,,18,0,181273.05
20251118,e2,,Anterior-Anterior,Central Brain,contralateral,,21,0,195142.352
20251118,e2,,Anterior-Anterior,Central Brain,contralateral,,24,0,208808.361
20251118,e2,,Anterior-Anterior,Central Brain,contralateral,,27,1,212400.582
20251118,e2,,Anterior-Anterior,Central Brain,contralateral,,30,0,214408.635
20251118,e2,,Anterior-Anterior,Central Brain,contralateral,,33,1,205542.706
20251118,e3,,Anterior-Anterior,Central Brain,contralateral,,15,0,172780.184
20251118,e3,,Anterior-Anterior,Central Brain,contralateral,,18,1,194362.704
20251118,e3,,Anterior-Anterior,Central Brain,contralateral,,21,1,203019.934
20251118,e3,,Anterior-Anterior,Central Brain,contralateral,,24,0,219806.698
20251118,e3,,Anterior-Anterior,Central Brain,contralateral,,27,0,220691.236
20251118,e3,,Anterior-Anterior,Central Brain,contralateral,,30,0,220950.759
20251118,e3,,Anterior-Anterior,Central Brain,contralateral,,33,0,226826.775
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,19,1,162228.436
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,22,0,184891.639
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,25,1,210559.465
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,28,0,232757.37
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,31,1,254668.727
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,34,0,272076.374
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,37,1,301619.527
20251118,e1,ventral-anterior,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,19,0,186574.874
20251118,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,22,0,210300.614
20251118,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,25,0,240832.326
20251118,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,28,0,256303.096
20251118,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,31,0,274769.186
20251118,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,34,0,311514.293
20251118,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,37,1,327817.697
20251118,e2,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,20,0,164570.63
20251118,e2,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,23,0,185664.383
20251118,e2,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,26,1,212244.868
20251118,e2,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,29,0,235538.072
20251118,e2,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,32,1,255536.424
20251118,e2,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,35,0,275234.163
20251118,e2,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,38,0,300743.038
20251118,e3,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,18,0,163697.987
20251118,e3,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,21,0,189361.494
20251118,e3,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,24,0,217189.849
20251118,e3,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,27,0,239952.113
20251118,e3,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,30,1,260889.071
20251118,e3,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,33,1,282612.165
20251118,e3,,Anterior-Anterior,Optic Lobe,ipsilateral,Anterior,36,0,301817.893
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Posterior,22,0,230872.919
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Posterior,25,0,278544.274
20250905,e1,,Anterior-Anterior,Optic Lobe,ipsilateral,Posterior,28,0,320250.461
